lon,lat
-80.2001952981,-0.461420793448
-80.2001952981,-0.439448816335
-80.1123046731,-0.439448816335
-80.1123046731,-0.395504671461
-80.1342773294,-0.395504671461
-80.1342773294,-0.351560293929
-80.1123046731,-0.351560293929
-80.1123046731,-0.307615709589
-80.0903320169,-0.307615709589
-80.0903320169,-0.263670944289
-80.0683593607,-0.263670944289
-80.0683593607,-0.175780974216
-80.0463867044,-0.175780974216
-80.0463867044,-0.153808408989
-80.0024413919,-0.153808408989
-80.0024413919,-0.131835821143
-79.9804687357,-0.131835821143
-79.9804687357,-0.0659179541965
-79.9584960794,-0.0659179541965
-79.9584960794,-0.0439453081835
-79.9365234232,-0.0439453081835
-79.9365234232,-0.0219726557075
-79.8706054544,-0.0219726557075
-79.8706054544,0.0219726557075
-79.8046874857,0.0219726557075
-79.8046874857,-0.153808408989
-79.826660142,-0.153808408989
-79.826660142,-0.175780974216
-79.8706054544,-0.175780974216
-79.8706054544,-0.241698501858
-79.9365234232,-0.241698501858
-79.9365234232,-0.395504671461
-79.9584960794,-0.395504671461
-79.9584960794,-0.417476774596
-79.9804687357,-0.417476774596
-79.9804687357,-0.439448816335
-80.0024413919,-0.439448816335
-80.0024413919,-0.461420793448
