lon,lat
-80.1123046731,-0.856901647286
-80.1123046731,-0.834931385893
-80.2001952981,-0.834931385893
-80.2001952981,-0.790990498012
-80.1782226419,-0.790990498012
-80.1782226419,-0.769019877984
-80.2441406106,-0.769019877984
-80.2441406106,-0.725078301903
-80.2880859231,-0.725078301903
-80.2880859231,-0.615222552297
-80.2221679544,-0.615222552297
-80.2221679544,-0.461420793448
-80.2001952981,-0.461420793448
-79.9365234232,-0.461420793448
-79.9365234232,-0.50536454087
-79.9145507669,-0.50536454087
-79.9145507669,-0.461420793448
-79.8706054544,-0.461420793448
-79.8706054544,-0.483392702703
-79.826660142,-0.483392702703
-79.826660142,-0.50536454087
-79.738769517,-0.50536454087
-79.738769517,-0.461420793448
-79.7167968607,-0.461420793448
-79.7167968607,-0.439448816335
-79.6728515482,-0.439448816335
-79.6728515482,-0.461420793448
-79.650878892,-0.461420793448
-79.650878892,-0.549307991014
-79.6289062357,-0.549307991014
-79.6289062357,-0.57127959653
-79.6069335795,-0.57127959653
-79.6069335795,-0.703107352311
-79.6289062357,-0.703107352311
-79.6289062357,-0.769019877984
-79.650878892,-0.769019877984
-79.650878892,-0.790990498012
-79.6948242045,-0.790990498012
-79.6948242045,-0.747049144871
-79.7167968607,-0.747049144871
-79.7167968607,-0.725078301903
-79.7827148295,-0.725078301903
-79.7827148295,-0.681136299323
-79.826660142,-0.681136299323
-79.826660142,-0.659165146171
-79.8486327982,-0.659165146171
-79.8486327982,-0.681136299323
-79.8706054544,-0.681136299323
-79.8706054544,-0.790990498012
-79.8925781107,-0.790990498012
-79.8925781107,-0.834931385893
-79.9584960794,-0.834931385893
-79.9584960794,-0.856901647286
