lon,lat
27.5976562451,-18.2293513352
27.5976562451,-18.1458517686
27.3339843701,-18.1458517686
27.3339843701,-18.0623123014
27.0703124952,-18.0623123014
27.0703124952,-17.9787330924
26.9824218702,-17.9787330924
26.9824218702,-17.8951143006
27.0703124952,-17.8951143006
27.0703124952,-17.7277586068
27.1582031201,-17.7277586068
27.1582031201,-17.6440220248
27.2460937451,-17.6440220248
27.2460937451,-17.5602465002
27.3339843701,-17.5602465002
27.3339843701,-17.4764321942
27.4218749951,-17.4764321942
27.4218749951,-17.392579268
27.5097656201,-17.392579268
27.5097656201,-17.3086878838
27.5976562451,-17.3086878838
27.5976562451,-17.1407903903
27.773437495,-17.1407903903
27.773437495,-17.056784607
27.86132812,-17.056784607
27.86132812,-16.972741017
28.03710937,-16.972741017
28.03710937,-17.056784607
28.124999995,-17.056784607
28.124999995,-17.1407903903
28.2128906199,-17.1407903903
28.2128906199,-17.3086878838
28.3007812449,-17.3086878838
28.3007812449,-17.6440220248
28.2128906199,-17.6440220248
28.2128906199,-17.8951143006
28.124999995,-17.8951143006
28.124999995,-18.2293513352
