lon,lat
31.9921874943,-15.6230368288
31.9921874943,-15.2841851114
32.1679687442,-15.2841851114
32.1679687442,-14.2643830851
32.5195312442,-14.2643830851
32.5195312442,-14.0939571754
33.0468749941,-14.0939571754
33.0468749941,-13.9234038953
33.398437494,-13.9234038953
33.398437494,-14.0939571754
33.574218744,-14.0939571754
33.574218744,-14.4346802128
33.749999994,-14.4346802128
33.749999994,-14.7748825039
33.9257812439,-14.7748825039
33.9257812439,-15.1145528693
33.574218744,-15.1145528693
33.574218744,-15.2841851114
33.0468749941,-15.2841851114
33.0468749941,-15.4536802216
32.5195312442,-15.4536802216
32.5195312442,-15.6230368288
